一	横
亅	竖钩
乚	竖弯钩
丿	撇
𠃌	横折钩
丈	横,撇,捺
二	横,横
卜	竖,点
丏	横,竖,竖折,横折钩
丐	横,竖,横,竖折折钩
丑	横折,竖,横,横
专	横,横,竖折撇
且	竖,横折,横,横,横
不	横,撇,竖,点
世	横,竖,竖,横,竖折
丘	撇,竖,横,竖,横
内	竖,横折钩,撇,点
从	撇,点,撇,捺
东	横,撇折,竖钩,撇,点
氶	横钩,竖钩,横撇,撇,捺
去	横,竖,横,撇折,点
冂	竖,横折钩
厂	横,撇
土	横,竖,横
丷	点,撇
𠄌	竖提
乀	捺
人	撇,捺
丨	竖
口	竖,横折,横
三	横,横,横
吕	竖,横折,横,竖,横折,横
〢	竖,竖
𠂉	撇,横
丶	点
𫩏	竖,横折,竖,横
九	撇,横折弯钩
丹	撇,横折钩,点,横
为	点,撇,横折钩,点
亠	点,横
兴	点,点,撇,横,撇,点
𠄎	横折折折钩
久	撇,横撇,捺
厶	撇折,点
乂	撇,捺
乍	撇,横,竖,横,横
乎	撇,点,撇,横,竖钩
之	点,横撇,捺
乐	撇,竖折,竖钩,撇,点
夭	撇,横,撇,捺
千	撇,横,竖
北	竖,横,提,撇,竖弯钩
禾	撇,横,竖,撇,捺
乙	横折弯钩
乜	横折钩,竖弯钩
也	横折钩,竖,竖弯钩
冫	点,提
乡	撇折,撇折,撇
书	横折,横折钩,竖,点
占	竖,横,竖,横折,横
乛	横折
头	点,点,横,撇,点
舌	撇,横,竖,竖,横折,横
孚	撇,点,点,撇,横撇,竖钩,横
母	竖折,横折钩,点,横,点
𠦝	横,竖,竖,横折,横,横,横,竖
乞	撇,横,横折弯钩
龴	横折,点
𠄐	横折,竖勾
𠂊	撇,横撇
コ	横折,横
事	横,竖,横折,横,横折,横,横,竖钩
丁	横,竖钩
于	横,横,竖钩
丂	横,竖折折钩
彑	撇折,横撇,横
丌	横,撇,竖
𫝀	竖,横折,横
井	横,横,撇,竖
旦	竖,横折,横,横,横
业	竖,竖,点,撇,横
此	竖,横,竖,提,撇,竖弯钩
了	横撇,弯钩
叹	竖,横折,横,横撇,捺
𠃊	竖折
几	撇,横折弯钩
父	撇,点,撇,捺
𠂈	竖折,撇
田	竖,横折,横,竖,横
子	横撇,竖钩,横
小	竖钩,撇,点
冖	点,横钩
立	点,横,点,撇,横
朩	横,竖钩,撇,点
乇	撇,横,竖弯钩
执	横,竖钩,提,撇,横斜钩,点
𧘇	撇,竖提,撇,捺
㐭	点,横,竖,横折,竖,横折,横,横
享	点,横,竖,横折,横,横撇,竖钩,横
单	点,撇,竖,横折,横,横,横,竖
舋	撇,竖,横,横,竖,横折,横,竖,横折,横,横折,横,横,点,横钩,竖,横折,横,横,横
亻	撇,竖
十	横,竖
力	横折钩,撇
又	横撇,捺
亽	撇,捺,点
乃	横折折折钩,撇
匕	撇,竖弯钩
㔾	横折钩,竖弯钩
士	横,竖,横
寸	横,竖钩,点
山	竖,竖折,竖
工	横,竖,横
刃	横折钩,撇,点
弋	横,斜钩,点
以	竖提,点,撇,点
义	点,撇,捺
么	撇,撇折,点
门	点,竖,横折钩
卬	撇,竖提,横折钩,竖
中	竖,横折,横,竖
比	横,竖提,撇,竖弯钩
午	撇,横,横,竖
牛	撇,横,横,竖
介	撇,捺,撇,竖
壬	撇,横,竖,横
分	撇,捺,横折钩,撇
方	点,横,横折钩,撇
止	竖,横,竖,横
心	点,卧钩,点,点
亢	点,横,撇,横折弯钩
尹	横折,横,横,撇
及	撇,横折折撇,捺
五	横,竖,横折,横
支	横,竖,横撇,捺
犬	横,撇,捺,点
戈	横,斜钩,撇,点
木	横,竖,撇,捺
尤	横,撇,竖弯钩,点
火	点,撇,撇,捺
云	横,横,撇折,点
区	横,撇,点,竖折
韦	横,横,横折钩,竖
牙	横,撇折,竖钩,撇
见	竖,横折,撇,竖弯钩
长	撇,横,竖提,捺
仑	撇,捺,撇,竖弯钩
仓	撇,捺,横折钩,竖弯钩
㝉	点,点,横折,横
玄	点,横,撇折,撇折,点
白	撇,竖,横折,横,横
古	横,竖,竖,横折,横
尼	横折,横,撇,撇,竖弯钩
半	点,撇,横,横,竖
令	撇,捺,点,横撇,点
申	竖,横折,横,横,竖
司	横折钩,横,竖,横折,横
加	横折钩,撇,竖,横折,横
丕	横,撇,竖,点,横
台	撇折,点,竖,横折,横
氐	撇,竖提,横,斜钩,点
主	点,横,横,竖,横
左	横,撇,横,竖,横
右	横,撇,竖,横折,横
本	横,竖,撇,捺,横
可	横,竖,横折,横,竖钩
必	点,卧钩,点,撇,点
它	点,点,横钩,撇,竖弯钩
示	横,横,竖钩,撇,点
亼	撇,捺,横
失	撇,横,横,撇,捺
弗	横折,横,竖折折钩,撇,竖
句	撇,横折钩,竖,横折,横
𡚬	横,横,撇点,撇,横
冬	撇,横撇,捺,点,点
尔	撇,横钩,竖钩,撇,点
用	撇,横折钩,横,横,竖
瓦	横,竖提,横斜钩,点
𭕄	点,点,撇
𫥞	撇,横斜钩,撇,竖,横折钩,竖
老	横,竖,横,撇,撇,竖弯钩
羊	点,撇,横,横,横,竖
百	横,撇,竖,横折,横,横
圭	横,竖,横,横,竖,横
耳	横,竖,竖,横,横,横
吉	横,竖,横,竖,横折,横
全	撇,捺,横,横,竖,横
兆	撇,点,提,竖弯钩,撇,点
交	点,横,撇,点,撇,捺
次	点,提,撇,横钩,撇,捺
䏌	撇,捺,竖,横折钩,横,横
吏	横,竖,横折,横,撇,捺
先	撇,横,竖,横,撇,竖弯钩
㡯	点,横,撇,撇,横,竖弯钩
𫶧	撇,竖,竖弯钩
至	横,撇折,点,横,竖,横
多	撇,横撇,点,撇,横撇,点
夸	横,撇,捺,横,横,竖折折钩
列	横,撇,横撇,点,竖,竖钩
寺	横,竖,横,横,竖钩,点
朱	撇,横,横,竖,撇,捺
有	横,撇,竖,横折钩,横,横
牟	撇折,点,撇,横,横,竖
同	竖,横折钩,横,竖,横折,横
宅	点,点,横钩,撇,横,竖弯钩
共	横,竖,竖,横,撇,点
衣	点,横,撇,竖提,撇,捺
夹	横,点,撇,横,撇,捺
尧	横,斜钩,撇,横,撇,竖弯钩
贞	竖,横,竖,横折,撇,点
则	竖,横折,撇,点,竖,竖钩
乔	撇,横,撇,捺,撇,竖
会	撇,捺,横,横,撇折,点
齐	点,横,撇,捺,撇,竖
农	点,横钩,撇,竖提,撇,捺
每	撇,横,竖折,横折钩,点,横,点
ユ	横折,横
矢	撇,横,横,撇,捺
刂	竖,竖钩
𠬶	横折,横,横,点,横钩,横撇,捺
廷	撇,横,竖,横,横折折撇,捺
更	横,竖,横折,横,横,撇,捺
足	竖,横折,横,竖,横,撇,捺
我	撇,横,竖钩,提,斜钩,撇,点
求	横,竖钩,点,提,撇,捺,点
夋	撇折,点,撇,点,撇,横撇,捺
良	点,横折,横,横,竖提,撇,捺
仌	撇,点,撇,捺
肖	竖,点,撇,竖,横折钩,横,横
利	撇,横,竖,撇,点,竖,竖钩
甬	横钩,点,竖,横折钩,横,横,竖
谷	撇,点,撇,捺,竖,横折,横
希	撇,点,横,撇,竖,横折钩,竖
里	竖,横折,横,横,竖,横,横
甹	竖,横折,横,竖,横,横,竖折折钩
呆	竖,横折,横,横,竖,撇,捺
刖	撇,横折钩,横,横,竖,竖钩
矣	撇折,点,撇,横,横,撇,捺
言	点,横,横,横,竖,横折,横
吴	竖,横折,横,横,横,撇,捺
寿	横,横,横,撇,横,竖钩,点
严	横,竖,竖,点,撇,横,撇
两	横,竖,横折钩,撇,点,撇,点
丽	横,竖,横折钩,点,竖,横折钩,点
来	横,点,撇,横,竖,撇,捺
佥	撇,捺,横,点,点,撇,横
夂	撇,横撇,捺
彡	撇,撇,撇
府	点,横,撇,撇,竖,横,竖钩,点
具	竖,横折,横,横,横,横,撇,点
非	竖,横,横,横,竖,横,横,横
表	横,横,竖,横,撇,竖提,撇,捺
叔	竖,横,横,竖钩,撇,点,横撇,捺
奉	横,横,横,撇,捺,横,横,竖
奄	横,撇,捺,竖,横折,横,横,竖弯钩
卑	撇,竖,横折,横,横,撇,横,竖
官	点,点,横钩,竖,横折,横,横折,横
咅	点,横,点,撇,横,竖,横折,横
到	横,撇折,点,横,竖,提,竖,竖钩
炎	点,撇,撇,点,点,撇,撇,捺
屈	横折,横,撇,竖折,竖,竖,竖折,竖
垂	撇,横,竖,横,竖,竖,横,横
尚	竖,点,撇,竖,横折钩,竖,横折,横
奇	横,撇,点,横,竖,横折,横,竖钩
周	撇,横折钩,横,竖,横,竖,横折,横
京	点,横,竖,横折,横,竖钩,撇,点
昔	横,竖,竖,横,竖,横折,横,横
昌	竖,横折,横,横,竖,横折,横,横
空	点,点,横钩,撇,点,横,竖,横
卷	点,撇,横,横,撇,捺,横折钩,竖弯钩
宗	点,点,横钩,横,横,竖钩,撇,点
居	横折,横,撇,横,竖,竖,横折,横
青	横,横,竖,横,竖,横折钩,横,横
兒	撇,竖,横,横折,横,横,撇,竖弯钩
卓	竖,横,竖,横折,横,横,横,竖
委	撇,横,竖,撇,捺,撇点,撇,横
果	竖,横折,横,横,横,竖,撇,捺
奔	横,撇,捺,横,竖,横,撇,竖
责	横,横,竖,横,竖,横折,撇,点
耶	横,竖,竖,横,横,提,横折折折钩,竖
直	横,竖,竖,横折,横,横,横,横
顷	横,竖提,横,撇,竖,横折,撇,点
爯	撇,点,点,撇,竖,横折钩,横,竖,横
匽	横,竖,横折,横,横,撇点,撇,横,竖折
叚	横折,横,竖,横,横,横折,横,横撇,捺
曷	竖,横折,横,横,撇,横折钩,撇,点,竖折
若	横,竖,竖,横,撇,竖,横折,横
畏	竖,横折,横,竖,横,横,竖提,撇,捺
扁	点,横折,横,撇,竖,横折钩,横,竖,竖
屋	横折,横,撇,横,撇折,点,横,竖,横
皆	横,竖提,撇,竖弯钩,撇,竖,横折,横,横
故	横,竖,竖,横折,横,撇,横,撇,捺
亭	点,横,竖,横折,横,点,横钩,横,竖钩
甚	横,竖,竖,横,横,横,撇,点,竖折
建	横折,横,横,横,横,竖,横折折撇,捺
怱	撇,横折钩,撇,撇,点,点,卧钩,点,点
面	横,撇,竖,横折,竖,竖,横,横,横
契	横,横,横,竖,横折钩,撇,横,撇,捺
思	竖,横折,横,竖,横,点,卧钩,点,点
禺	竖,横折,横,横,竖,横折钩,竖,提,点
俞	撇,捺,横,竖,横折钩,横,横,竖,竖钩
娄	点,撇,横,竖,撇,捺,撇点,撇,横
贲	横,竖,横,竖,竖,竖,横折,撇,点
尝	竖,点,撇,点,横钩,横,横,撇折,点
鬼	撇,竖,横折,横,横,撇,竖弯钩,撇折,点
素	横,横,竖,横,撇折,撇折,点,竖钩,撇,点
尃	横,竖,横折,横,横,竖,点,横,竖钩,点
栗	横,竖,横折,竖,竖,横,横,竖,撇,捺
辱	横,撇,横,横,竖提,撇,捺,横,竖钩,点
旁	点,横,点,撇,点,横钩,点,横,横折钩,撇
奚	撇,点,点,撇,撇折,撇折,点,横,撇,捺
隺	点,横钩,撇,竖,点,横,横,横,竖,横
泰	横,横,横,撇,捺,竖钩,点,提,撇,点
党	竖,点,撇,点,横钩,竖,横折,横,撇,竖弯钩
宾	点,点,横钩,撇,竖,横,竖,横,撇,点
诸	点,横折提,横,竖,横,撇,竖,横折,横,横
难	横撇,点,撇,竖,点,横,横,横,竖,横
崔	竖,竖折,竖,撇,竖,点,横,横,横,竖,横
敖	横,横,竖,横,横折钩,撇,撇,横,撇,捺
祭	撇,横撇,点,点,横撇,捺,横,横,竖钩,撇,点
