一	横
丁	横,竖钩
七	横,竖弯钩
万	横,横折钩,撇
丈	横,撇,捺
三	横,横,横
上	竖,横,横
下	横,竖,点
不	横,撇,竖,点
与	横,竖折折钩,横
丏	
丐	横,竖,横,竖折折钩
丑	横折,竖,横,横
专	横,横,竖折撇|竖折折,点
且	竖,横折,横,横,横
丕	横,撇,竖,点,横
世	横,竖,竖,横,竖弯
丘	撇,竖,横,竖,横
丙	横,竖,横折钩,撇,点
业	竖,竖,点,撇,横
丛	撇,点,撇,捺,横
东	横,撇折,竖钩,撇,点
丝	撇折,撇折,撇折,撇折,横
丞	横撇|横钩,竖钩,横撇|横钩,撇,捺,横
丢	撇,横,竖,横,撇折,点
两	横,竖,横折钩,撇,点,撇,点
严	横,竖,竖,点,撇,横,撇
丧	横,竖,点,撇,横,竖提,撇,捺
个	撇,捺,竖
丫	点,撇,竖
中	竖,横折,横,竖
丰	横,横,横,竖
串	竖,横折,横,竖,横折,横,竖
临	竖,竖,撇,横,点,竖,横折,竖,横
丸	撇,横斜钩,点
丹	撇,横折钩,点,横
为	点,撇,横折钩,点
主	点,横,横,竖,横
丽	横,竖,横折钩,点,竖,横折钩,点
举	点,点,撇,横,撇,捺,横,横,竖
乂	撇,捺
乃	横折折折钩|横撇弯钩,撇
久	撇,横撇|横钩,捺
么	撇,撇折,点
义	点,撇,捺
之	点,横撇|横钩,捺
乌	撇,横折钩,竖折折钩,横
乍	撇,横,竖,横,横
乎	撇,点,撇,横,竖钩
乏	撇,点,横撇|横钩,捺
乐	撇,竖弯,竖钩,撇,点
乒	撇,竖,横,竖,横,撇
乓	撇,竖,横,竖,横,点
乔	撇,横,撇,捺,撇,竖
乖	撇,横,竖,竖,横,提,撇,竖弯钩
乘	撇,横,竖,竖,横,提,撇,竖弯钩,撇,捺
乙	横斜钩
乜	横折钩,竖弯钩
九	撇,横斜钩
乞	撇,横,横斜钩
也	横折钩,竖,竖弯钩
习	横折钩,点,提
乡	撇折,撇折,撇
书	横折,横折钩,竖,点
乩	竖,横,竖,横折,横,竖弯钩
买	横撇|横钩,点,点,横,撇,点
乱	撇,横,竖,竖,横折,横,竖弯钩
乳	撇,点,点,撇,横撇|横钩,竖钩,提,竖弯钩
乸	
乾	横,竖,竖,横折,横,横,横,竖,撇,横,横斜钩
了	横撇|横钩,竖钩
予	横撇|横钩,点,横撇|横钩,竖钩
争	撇,横撇|横钩,横折,横,横,竖钩
事	横,竖,横折,横,横折,横,横,竖钩
二	横,横
亍	横,横,竖钩
于	横,横,竖钩
亏	横,横,竖折折钩
云	横,横,撇折,点
